name,WKT
Starbucks,POINT (-79.59634 40.30331)
Starbucks,POINT (-117.91878 33.80013)
Starbucks,POINT (-74.16486 40.73443)
Starbucks,POINT (-122.324 37.56289)
Starbucks,POINT (-118.52528 34.16509)
Starbucks,POINT (-119.76481 39.47362)
Starbucks,POINT (-75.24349 40.24139)
Starbucks,POINT (-105.96921 28.70377)
Starbucks,POINT (-116.96665 32.6481)
Starbucks,POINT (-86.16393 40.02081)
Starbucks,POINT (-76.8455 38.92085)
Starbucks,POINT (-71.06993 42.40184)
Starbucks,POINT (-81.25183 32.13796)
Starbucks,POINT (-89.44756 43.07494)
Starbucks,POINT (-72.89495 41.69884)
Starbucks,POINT (-116.78797 47.70858)
Starbucks,POINT (-121.27129 38.69513)
Starbucks,POINT (-117.26498 32.95938)
Starbucks,POINT (-122.82214 46.99766)
Starbucks,POINT (-84.32241 34.87556)
Starbucks,POINT (-118.2775 34.02642)
Starbucks,POINT (-122.76507 45.33512)
Starbucks,POINT (-83.22137 42.67316)
Starbucks,POINT (-117.06131 32.9344)
Starbucks,POINT (-92.84064 45.03708)
Starbucks,POINT (-121.49698 38.61195)
Starbucks,POINT (-75.89202 41.25718)
Starbucks,POINT (-93.18786 44.91757)
Starbucks,POINT (-79.19358 35.48755)
Starbucks,POINT (-93.16556 44.96631)
Starbucks,POINT (-71.1885 42.42529)
Starbucks,POINT (-118.23985 33.83151)
Starbucks,POINT (-78.92941 36.05782)
Starbucks,POINT (-88.20179 41.53373)
Starbucks,POINT (-80.32026 36.06765)
Starbucks,POINT (-74.13513 40.41181)
Starbucks,POINT (-74.24935 40.88993)
Starbucks,POINT (-93.56585 38.72802)
Starbucks,POINT (-81.53458 30.13817)
Starbucks,POINT (-77.41064 39.41556)
Starbucks,POINT (-96.82039 32.53229)
Starbucks,POINT (-122.12889 47.67562)
Starbucks,POINT (-80.87873 35.10835)
Starbucks,POINT (-105.99453 38.53603)
Starbucks,POINT (-95.39685 29.71526)
Starbucks,POINT (-112.13429 33.39053)
Starbucks,POINT (-73.8272 40.98243)
Starbucks,POINT (-72.32302 43.62742)
Starbucks,POINT (-96.7732 32.86862)
Starbucks,POINT (-120.00402 38.91131)
Starbucks,POINT (-121.98629 47.72813)
Starbucks,POINT (-115.27719 36.14368)
Starbucks,POINT (-90.56263 38.78692)
Starbucks,POINT (-87.88678 42.00685)
Starbucks,POINT (-82.99399 42.61741)
Starbucks,POINT (-120.53471 47.00172)
Starbucks,POINT (-76.9992 38.7247)
Starbucks,POINT (-84.5684 38.18632)
Starbucks,POINT (-122.18416 47.61238)
Starbucks,POINT (-91.39323 39.91255)
Starbucks,POINT (-99.17893 19.37075)
Starbucks,POINT (-84.0884 36.16151)
Starbucks,POINT (-81.93145 34.9652)
Starbucks,POINT (-86.48185 30.38938)
Starbucks,POINT (-83.0015 42.25525)
Starbucks,POINT (-79.95885 39.62896)
Starbucks,POINT (-73.97869 40.7849)
Starbucks,POINT (-80.18722 26.28414)
Starbucks,POINT (-92.42883 34.80386)
Starbucks,POINT (-96.80111 32.80041)
Starbucks,POINT (-85.51925 38.1879)
Starbucks,POINT (-80.08825 26.93467)
Starbucks,POINT (-122.27309 47.84967)
Starbucks,POINT (-77.04556 38.80474)
Starbucks,POINT (-87.08717 41.46212)
Starbucks,POINT (-78.84085 39.63617)
Starbucks,POINT (-80.39622 25.65606)
Starbucks,POINT (-112.06499 33.642)
Starbucks,POINT (-104.98907 39.65582)
Starbucks,POINT (-96.78714 32.84835)
Starbucks,POINT (-111.98116 33.58225)
Starbucks,POINT (-96.02427 41.21155)
Starbucks,POINT (-117.72421 33.48585)
Starbucks,POINT (-81.72356 30.10211)
Starbucks,POINT (-74.93705 40.22784)
Starbucks,POINT (-77.82222 34.221)
Starbucks,POINT (-82.44853 27.95035)
Starbucks,POINT (-80.2745 36.09018)
Starbucks,POINT (-94.20902 45.55561)
Starbucks,POINT (-105.95349 35.67893)
Starbucks,POINT (-122.13637 38.01753)
Starbucks,POINT (-119.71605 39.54097)
Starbucks,POINT (-87.12269 37.71693)
Starbucks,POINT (-122.28324 47.86442)
Starbucks,POINT (-97.76444 30.30463)
Starbucks,POINT (-79.94772 40.33614)
Starbucks,POINT (-87.86984 41.81397)
Starbucks,POINT (-118.37158 33.97893)
Starbucks,POINT (-92.0755 30.18647)
Starbucks,POINT (-117.69177 33.96381)
Starbucks,POINT (-99.19707 19.36077)
Starbucks,POINT (-111.06344 45.69686)
Starbucks,POINT (-74.17602 40.74196)
Starbucks,POINT (-81.31445 28.43479)
Starbucks,POINT (-105.00906 39.65307)
Starbucks,POINT (-84.7594 39.17187)
Starbucks,POINT (-119.81322 39.52742)
Starbucks,POINT (-79.00019 35.03969)
Starbucks,POINT (-73.86275 40.72981)
Starbucks,POINT (-87.63405 41.88223)
Starbucks,POINT (-110.95739 32.22948)
Starbucks,POINT (-106.59544 35.08767)
Starbucks,POINT (-118.16793 34.67474)
Starbucks,POINT (-118.30632 34.06143)
Starbucks,POINT (-112.29025 33.6384)
Starbucks,POINT (-92.86657 40.73757)
Starbucks,POINT (-93.25285 37.1808)
Starbucks,POINT (-104.99833 39.73752)
Starbucks,POINT (-79.83309 34.18938)
Starbucks,POINT (-120.18841 34.60963)
Starbucks,POINT (-116.48146 33.7882)
Starbucks,POINT (-87.74539 41.97496)
Starbucks,POINT (-122.74122 38.40761)
Starbucks,POINT (-84.74652 33.88821)
Starbucks,POINT (-73.57707 45.49604)
Starbucks,POINT (-89.92364 38.57256)
Starbucks,POINT (-88.35724 44.24431)
Starbucks,POINT (-122.27559 37.51988)
Starbucks,POINT (-122.40726 47.19032)
Starbucks,POINT (-74.02444 40.98019)
Starbucks,POINT (-97.18638 32.64648)
Starbucks,POINT (-95.4211 29.03843)
Starbucks,POINT (-106.82782 39.66234)
Starbucks,POINT (-95.21632 30.06964)
Starbucks,POINT (-77.53108 38.73972)
Starbucks,POINT (-92.16501 46.8085)
Starbucks,POINT (-117.92186 33.80856)
Starbucks,POINT (-122.73511 38.47929)
Starbucks,POINT (-71.60747 42.28569)
Starbucks,POINT (-112.00753 41.17611)
Starbucks,POINT (-85.82614 38.16764)
Starbucks,POINT (-82.06921 39.33586)
Starbucks,POINT (-73.0683 40.94576)
Starbucks,POINT (-106.54773 35.12976)
Starbucks,POINT (-76.57794 37.15684)
Starbucks,POINT (-76.60121 39.27126)
Starbucks,POINT (-120.87195 37.05673)
Starbucks,POINT (-86.05193 39.90551)
Starbucks,POINT (-94.36132 38.91554)
Starbucks,POINT (-78.69967 35.66343)
Starbucks,POINT (-85.67689 42.24022)
Starbucks,POINT (-118.39596 33.95605)
Starbucks,POINT (-79.99488 40.44148)
Starbucks,POINT (-87.73653 42.01217)
Starbucks,POINT (-83.53399 41.65116)
Starbucks,POINT (-77.82189 42.79668)
Starbucks,POINT (-77.66416 37.50472)
Starbucks,POINT (-103.64288 41.87021)
Starbucks,POINT (-104.87221 38.85369)
Starbucks,POINT (-119.68201 36.8378)
Starbucks,POINT (-77.48768 38.91595)
